"rank","tw_username","followers_count","likes","location","location_1","location_2","location_3","location_4","location_5","location_6","continent","country","state","city","followers_count_created_at","location_created_at","ranking_date"
8643,glancasterxxx,2772,,"Akron, OH",Akron,OH,"Akron, OH",,"Akron, OH",,,,OH,AKRON,2022-05-27 02:00:00.000,2022-05-25 02:00:00,2022-05-28 02:00:00.000
8644,desertboyxxx,2770,,"Palm Springs, CA",Palm Springs,CA,"Palm Springs, CA",,"Palm Springs, CA",,,,CA,,2022-05-13 02:00:00.000,2022-05-11 02:00:00,2022-05-28 02:00:00.000
8645,tommywolfex,2767,90,"Chicago, IL",Chicago,IL,"Chicago, IL",,"Chicago, IL",,,,IL,CHICAGO,2022-05-28 02:00:00.000,2022-05-24 02:00:00,2022-05-28 02:00:00.000
8646,codymoorex,2767,,"Denver, CO",Denver,CO,"Denver, CO",,"Denver, CO",,,,CO,DENVER,2022-05-28 02:00:00.000,2022-05-19 02:00:00,2022-05-28 02:00:00.000
8647,nakeddiaperboy,2764,,"Idaho, USA",Idaho,USA,"Idaho, USA",,"Idaho, USA",,,,ID,,2022-05-27 02:00:00.000,2022-05-19 02:00:00,2022-05-28 02:00:00.000
8648,davidgale19m,2763,,"Portland, Oregon",Portland,Oregon,"Portland, Oregon",,"Portland, Oregon",,,,OR,PORTLAND,2022-05-28 02:00:00.000,2022-05-25 02:00:00,2022-05-28 02:00:00.000
8649,augustfordxxx,2755,,"Houston, TX",Houston,TX,"Houston, TX",,"Houston, TX",,,,TX,HOUSTON,2022-05-28 02:00:00.000,2022-05-24 02:00:00,2022-05-28 02:00:00.000
8650,s3xd3mon,2754,,Somewhere in LA,Somewhere in LA,,Somewhere in LA,,Somewhere in LA,,,,,,2022-05-27 02:00:00.000,2022-05-20 02:00:00,2022-05-28 02:00:00.000
8651,niteboy7,2754,1400,"Belgrade, Republic of Serbia",Belgrade,Republic of Serbia,"Belgrade, Republic of Serbia",,"Belgrade, Republic of Serbia",,,,,,2022-05-27 02:00:00.000,2022-05-25 02:00:00,2022-05-28 02:00:00.000
8652,jonxleon,2743,,España,España,,España,,España,,,,,,2022-05-28 02:00:00.000,2022-05-28 02:00:00,2022-05-28 02:00:00.000
8653,iantaylorxx,2738,,"Los Angeles, CA",Los Angeles,CA,"Los Angeles, CA",,"Los Angeles, CA",,,,CA,LOS ANGELES,2022-05-27 02:00:00.000,2022-05-23 02:00:00,2022-05-28 02:00:00.000
8654,leakingcumm,2732,,"Atlanta, GA",Atlanta,GA,"Atlanta, GA",,"Atlanta, GA",,,,GA,ATLANTA,2022-05-27 02:00:00.000,2022-05-25 02:00:00,2022-05-28 02:00:00.000
8655,marrieddfwboys,2728,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-05-28 02:00:00.000,2022-05-26 02:00:00,2022-05-28 02:00:00.000
8656,miamilux_,2727,5300,"Las Vegas, NV",Las Vegas,NV,"Las Vegas, NV",,"Las Vegas, NV",,,,NV,LAS VEGAS,2022-05-28 02:00:00.000,2022-05-28 02:00:00,2022-05-28 02:00:00.000
8657,bratboybitch,2727,,"San Francisco, CA",San Francisco,CA,"San Francisco, CA",,"San Francisco, CA",,,,CA,SAN FRANCISCO,2022-05-28 02:00:00.000,2022-05-26 02:00:00,2022-05-28 02:00:00.000
8658,deeanthonygo3s,2726,,"Seattle, WA",Seattle,WA,"Seattle, WA",,"Seattle, WA",,,,WA,SEATTLE,2022-05-27 02:00:00.000,2022-05-19 02:00:00,2022-05-28 02:00:00.000
8659,victorbttm,2722,,,,,,,,,,,,,2022-05-28 02:00:00.000,2022-05-25 02:00:00,2022-05-28 02:00:00.000
8660,goodboy1124,2721,,"San Francisco, CA",San Francisco,CA,"San Francisco, CA",,"San Francisco, CA",,,,CA,SAN FRANCISCO,2022-05-27 02:00:00.000,2022-05-23 02:00:00,2022-05-28 02:00:00.000
8661,kinkyguy1_,2721,,,,,,,,,,,,,2022-05-27 02:00:00.000,2022-05-26 02:00:00,2022-05-28 02:00:00.000
8662,maxromanoxxx,2716,20,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-05-27 02:00:00.000,2022-05-26 02:00:00,2022-05-28 02:00:00.000
8663,pumaboynyc,2715,,"New York, NY",New York,NY,"New York, NY",,"New York, NY",,,,NY,,2022-05-27 02:00:00.000,2022-05-22 02:00:00,2022-05-28 02:00:00.000
8664,plbttm,2715,,"London, England",London,England,"London, England",,"London, England",,,,,,2022-05-27 02:00:00.000,2022-04-30 02:00:00,2022-05-28 02:00:00.000
8665,hotskinnytwink,2714,,"London, England",London,England,"London, England",,"London, England",,,,,,2022-05-27 02:00:00.000,2022-05-26 02:00:00,2022-05-28 02:00:00.000
8666,killianishot,2713,228,"Hawaii, USA",Hawaii,USA,"Hawaii, USA",,"Hawaii, USA",,,,HI,,2022-05-28 02:00:00.000,2022-05-26 02:00:00,2022-05-28 02:00:00.000
8667,lucianpapi,2711,,,,,,,,,,,,,2022-05-27 02:00:00.000,2022-05-23 02:00:00,2022-05-28 02:00:00.000
8668,maxerino2,2709,,"Wien, Österreich",Wien,Österreich,"Wien, Österreich",,"Wien, Österreich",,,,,,2022-05-28 02:00:00.000,2022-05-27 02:00:00,2022-05-28 02:00:00.000
8669,latin_nyc86,2706,,"Manhattan, NY",Manhattan,NY,"Manhattan, NY",,"Manhattan, NY",,,,NY,MANHATTAN,2022-05-27 02:00:00.000,2022-05-18 02:00:00,2022-05-28 02:00:00.000
