"rank_","?column?","followers","rank","tw_username","followers_count","likes","location","location_1","location_2","location_3","location_4","location_5","location_6","continent","country","state","city","followers_count_created_at","location_created_at","ranking_date"
118,@gabriel_grant_,52K,2775,gabriel_grant_,51958,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
119,@bigdbuddyxxx,51K,2795,bigdbuddyxxx,51480,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-03 02:00:00.000,2022-05-26 02:00:00.000,2022-06-03 02:00:00.000
120,@officermuscles,51K,2812,officermuscles,51124,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
121,@huntercoxs,51K,2828,huntercoxs,50722,2500,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-04-13 02:00:00.000,2022-03-02 01:00:00.000,2022-06-03 02:00:00.000
122,@kevincakesxxx,51K,2835,kevincakesxxx,50574,,"Miami Beach, FL",Miami Beach,FL,"Miami Beach, FL",,"Miami Beach, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-28 02:00:00.000,2022-06-03 02:00:00.000
123,@jimmyandrewsxxx,50K,2848,jimmyandrewsxxx,50419,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-30 02:00:00.000,2022-06-03 02:00:00.000
124,@kadenhyllsxxx,50K,2851,kadenhyllsxxx,50382,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
125,@dylanvossx,50K,2862,dylanvossx,50104,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
126,@musclebearmtlxx,50K,2864,musclebearmtlxx,49907,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-03 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
127,@helloojose,49K,2908,helloojose,48864,2000,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-05-20 02:00:00.000,2022-06-03 02:00:00.000
128,@alexx93153809,48K,2943,alexx93153809,48074,939,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
129,@hunternashxxx,48K,2962,hunternashxxx,47731,2900,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
130,@_jay_roman,47K,3003,_jay_roman,46935,1300,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-10 02:00:00.000,2022-06-03 02:00:00.000
